,timestamp,deposits_value,mortgage_value,bandwidth_sports,overdue_wages_per_cap,income_per_cap,invest_fixed_capital_per_cap,apartment_build,gdp_quart,gdp_annual,fixed_basket
0,2010-01-01,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
1,2010-01-02,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
2,2010-01-03,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
3,2010-01-04,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
4,2010-01-05,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
5,2010-01-06,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
6,2010-01-07,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
7,2010-01-08,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
8,2010-01-09,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
9,2010-01-10,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
10,2010-01-11,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
11,2010-01-12,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
12,2010-01-13,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
13,2010-01-14,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
14,2010-01-15,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
15,2010-01-16,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
16,2010-01-17,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
17,2010-01-18,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
18,2010-01-19,7484970,142968,349902.57776560786,12865.0,30789.2,63932.0,22825.0,16993.230075187686,38807.2,11443.63
