id,price_doc
30474,5942151.0
30475,8602920.0
30476,5612359.5
30477,6313560.5
30478,5352683.5
30479,10305856.0
30480,4499498.0
30481,4438936.0
30482,5005597.5
30483,5133953.5
30484,6730954.0
30485,5247014.5
30486,3678221.5
30487,4169375.5
30488,6559337.5
30489,6087853.0
30490,24473942.0
30491,21599268.0
30492,6317048.5
30493,14560698.0
30494,7495285.0
30495,11965714.0
30496,9276278.0
30497,8652422.0
30498,4885328.5
30499,7519751.5
30500,11904272.0
30501,7627391.5
30502,3323510.5
30503,7220799.5
30504,6458860.0
30505,12252586.0
30506,3077098.0
30507,5138510.5
30508,5605120.0
30509,7927188.5
30510,9654716.0
30511,6824086.5
30512,7012377.5
30513,4480624.0
30514,3678981.5
30515,9869174.0
30516,6317610.5
30517,11455158.0
30518,9166064.0
30519,5075346.0
30520,7981486.0
30521,6080328.0
30522,7794772.5
30523,6673570.0
30524,11118838.0
30525,10282014.0
30526,5264594.0
30527,5316127.0
30528,7273286.0
30529,7105191.0
30530,7118464.0
30531,15007046.0
30532,4968523.5
30533,11002796.0
30534,7516751.5
30535,9798060.0
30536,5883667.0
30537,12109726.0
30538,5431655.0
30539,8910966.0
30540,10077434.0
30541,6205814.0
30542,2227048.2
30543,5964503.0
30544,7224908.0
30545,8844868.0
30546,4460989.0
30547,10432532.0
30548,4741168.0
30549,5339910.5
30550,12245712.0
30551,5410191.0
30552,2061226.8
30553,8412170.0
30554,10662260.0
30555,6389049.5
30556,9667212.0
30557,8443512.0
30558,9596206.0
30559,7374566.0
30560,6172216.5
30561,7781088.5
30562,13130324.0
30563,5144382.5
30564,7732185.0
30565,7473557.0
30566,7480764.0
30567,2221250.5
30568,11441166.0
30569,10560416.0
30570,7264061.0
30571,7879076.0
30572,5190741.0
30573,6615795.0
30574,7076203.5
30575,8421482.0
30576,5076603.5
30577,4175328.2
30578,3092210.5
30579,7850169.5
30580,5098009.0
30581,5804413.0
30582,13810266.0
30583,7493403.0
30584,4748522.5
30585,3118267.8
30586,9719326.0
30587,6083720.5
30588,8197531.0
30589,8454976.0
30590,12353170.0
30591,5327377.0
30592,6852348.5
30593,8491268.0
30594,6881085.0
30595,6120898.5
30596,7097922.0
30597,6611757.0
30598,9950310.0
30599,10670830.0
30600,5448773.5
30601,6931966.5
30602,2048885.4
30603,12561518.0
30604,4798118.5
30605,6764061.5
30606,21913100.0
30607,6937764.0
30608,9493234.0
30609,6134778.5
30610,3086614.8
30611,5669544.0
30612,7698985.5
30613,8768486.0
30614,18175688.0
30615,8326988.0
30616,5713612.0
30617,9896502.0
30618,5339533.0
30619,4430742.0
30620,2816986.5
30621,9056166.0
30622,8773610.0
30623,6723474.0
30624,6918529.0
30625,8466512.0
30626,6840138.0
30627,7451683.0
30628,6533910.5
30629,5502092.5
30630,4792763.0
30631,6516689.0
30632,4444467.5
30633,6494421.5
30634,12021522.0
30635,10018324.0
30636,5587388.0
30637,9732520.0
30638,6730116.0
30639,7907338.5
30640,4792053.5
30641,8473506.0
30642,6781038.0
30643,8645476.0
30644,9933686.0
30645,7572122.5
30646,5705216.0
30647,5064641.5
30648,26424694.0
30649,2594124.8
30650,5099638.5
30651,3106121.8
30652,4613665.5
30653,8354962.0
30654,4906834.0
30655,13407806.0
30656,4076975.2
30657,6946395.0
30658,10670200.0
30659,5059427.0
30660,8890154.0
30661,7183875.0
30662,9589098.0
30663,15904722.0
30664,12948030.0
30665,6211547.0
30666,2739180.8
30667,4354171.0
30668,9762020.0
30669,4970405.0
30670,2608582.8
30671,7860954.0
30672,15100034.0
30673,11442244.0
30674,12505492.0
30675,2224579.5
30676,7521428.0
30677,4434253.5
30678,22000900.0
30679,6022567.0
30680,5630690.5
30681,2506873.5
30682,8887910.0
30683,10120930.0
30684,5517616.0
30685,7735639.5
30686,9930726.0
30687,5116552.0
30688,4828580.0
30689,16880650.0
30690,26597730.0
30691,5085804.0
30692,6805789.0
30693,12170520.0
30694,5729870.5
30695,7760652.0
30696,7331125.5
30697,13285116.0
30698,7358653.5
30699,6411589.0
30700,5303615.0
30701,9950310.0
30702,6682395.5
30703,3999733.0
30704,12553800.0
30705,9968918.0
30706,27800914.0
30707,3632104.8
30708,15265438.0
30709,6402750.5
30710,7671359.0
30711,4988410.5
30712,4177010.5
30713,6878106.0
30714,7762161.0
30715,4076293.8
30716,10120930.0
30717,6919610.0
30718,10856060.0
30719,15874440.0
30720,7117069.0
